Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
0,28.12,26.17,27.15,26.17,27.15,20.31









10002,28.61,26.66,27.15,26.17,26.66,20.31









20005,29.59,26.66,27.15,26.17,26.66,20.31









30008,30.57,26.66,27.15,26.17,26.66,20.31









40011,31.05,26.66,26.66,26.17,26.66,20.31









50014,32.03,27.15,27.15,26.17,26.17,19.82









60017,32.03,27.15,26.66,26.17,26.17,19.82









70020,33.01,27.64,26.66,26.17,26.17,20.31









80023,33.98,28.12,27.15,26.17,26.66,19.82









90027,34.47,28.12,27.15,26.17,25.68,19.82









100029,34.47,28.12,27.15,26.17,26.17,19.82









110032,34.96,28.61,27.15,26.17,25.68,19.82









120035,35.45,29.10,27.64,26.17,26.17,19.82









130038,35.94,29.10,27.64,26.17,26.17,19.82









140042,36.43,29.59,27.64,26.17,26.17,19.82









150044,36.43,30.08,28.12,26.17,26.17,19.82









160048,35.94,30.08,28.12,26.66,26.17,19.82









170050,35.45,30.08,28.61,26.66,26.17,19.82









180054,34.96,30.57,28.12,26.17,26.17,19.82









190057,33.98,30.08,28.12,26.66,26.17,19.82









200059,33.50,30.08,28.61,26.17,26.66,19.82









210063,33.01,30.08,28.61,26.66,26.17,19.82









220065,32.52,29.59,28.12,26.66,26.17,19.82









230069,32.03,29.10,28.12,26.17,26.66,19.82









240072,32.03,29.10,28.61,27.15,26.17,19.82









250075,31.54,29.10,28.12,26.66,26.66,19.82









260078,31.05,28.61,28.12,26.66,26.66,19.82









270081,31.05,28.61,28.61,26.66,26.66,19.82









280084,30.57,28.61,28.12,26.66,26.17,19.82









290087,30.57,28.61,28.12,26.66,26.66,20.31









300090,30.08,28.61,28.12,26.66,26.66,19.82









310093,31.05,28.12,28.12,26.66,26.66,19.82









320096,32.03,28.12,28.12,26.66,26.17,19.82









330099,32.52,28.12,28.12,26.66,27.15,19.82









340103,33.50,28.61,27.64,26.66,26.17,19.82









350105,33.98,28.61,28.12,26.66,26.66,19.82









360109,34.47,29.10,28.12,26.66,26.66,19.82









370111,35.45,29.10,28.12,26.66,26.66,19.82









380114,35.45,29.10,28.12,26.66,27.15,19.82









390118,35.94,29.59,28.61,26.66,27.15,19.34









400120,36.43,30.08,28.12,26.66,26.66,19.82









410124,36.43,30.08,28.61,26.66,26.66,19.82









420127,36.91,30.57,28.61,26.66,26.66,19.82









430130,37.40,30.57,29.10,27.15,26.66,19.82









440133,37.40,30.57,28.61,27.15,26.66,19.82









450136,37.40,30.57,29.10,26.66,27.15,19.82









460139,36.91,31.05,29.10,27.64,27.15,19.82









470142,36.43,31.54,29.59,27.15,26.66,19.82









480145,35.45,31.05,29.59,27.15,27.15,19.82









490148,34.96,31.05,29.59,27.64,27.64,19.82









500151,34.96,31.05,29.59,27.64,27.15,19.82









510154,34.47,31.05,29.59,27.64,27.15,19.82









520158,33.98,31.05,29.59,27.64,27.15,19.82









530160,33.50,30.57,29.59,27.64,27.15,19.82









540164,33.50,30.08,29.59,27.64,27.15,19.82









550166,32.52,30.57,30.08,28.12,27.15,19.82









560169,33.01,30.08,29.59,27.64,27.15,19.82









570173,32.52,30.08,29.10,28.12,27.64,19.82









580175,32.52,30.08,29.59,28.12,27.64,19.82









590179,32.03,30.08,29.59,28.12,27.64,19.82









600181,32.03,30.08,29.59,28.12,27.64,19.82









610185,32.52,29.59,29.59,28.12,27.64,19.82









620188,33.50,29.59,29.59,28.12,27.64,19.82









630191,33.98,29.59,29.10,27.64,28.12,19.82









640194,34.47,29.59,29.10,28.12,28.12,19.82









650196,35.45,30.08,29.10,28.12,27.64,19.82









660200,35.94,30.08,29.10,28.12,28.12,19.82









670203,35.94,30.57,29.10,27.64,28.12,19.82









680206,36.43,30.57,29.10,27.64,27.64,19.82









690209,36.91,30.57,29.59,28.12,28.12,19.34









700212,37.40,31.05,29.59,28.12,27.64,19.82









710215,37.89,31.05,29.59,28.12,27.64,19.82









720219,37.89,31.54,29.59,27.64,27.64,19.82









730221,38.38,31.54,29.59,27.64,27.64,19.34









740225,38.38,32.03,30.08,27.64,27.64,19.82









750227,38.87,32.03,30.08,28.12,27.64,19.82



