Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
0,28.61,27.64,28.12,28.12,27.64



















20001,28.61,27.64,27.64,27.64,27.64



















40004,28.61,27.15,27.64,27.64,27.64



















60007,28.12,26.66,27.64,27.64,27.64



















80009,28.12,27.15,27.64,27.64,27.15



















100012,28.12,26.66,27.15,27.15,27.15



















120014,27.64,26.66,27.15,27.15,26.66



















140017,28.12,26.17,26.66,27.15,26.66



















160020,28.12,26.66,27.15,27.15,26.66



















180022,27.64,26.17,26.66,26.66,26.66



















200025,27.15,26.17,26.66,26.66,26.17



















220027,27.64,26.17,26.66,26.66,26.17



















240030,27.15,26.17,26.66,26.17,26.17


















