Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
0,24.71,23.73,24.22,23.73,24.22,20.31









10002,26.17,24.22,24.71,23.73,24.22,20.31









20005,28.61,23.73,24.22,23.73,24.22,20.31









30008,32.52,24.22,24.22,23.73,23.73,20.31









40011,35.94,25.20,24.22,23.73,23.73,19.82









50014,38.87,26.17,24.22,23.73,24.22,20.31









60017,41.31,27.15,24.71,23.24,24.22,19.82









70020,44.24,28.61,25.20,23.73,23.73,19.82









80023,46.19,29.59,25.68,23.73,23.73,19.82









90027,49.12,31.05,26.17,24.22,24.22,20.31









100029,51.07,32.03,26.66,23.73,23.73,19.82









110032,53.52,33.98,27.64,24.22,23.73,20.31









120035,55.47,34.96,28.12,24.71,24.22,20.31









130038,57.42,35.94,28.61,24.71,23.73,20.31









140042,58.89,37.40,29.59,24.71,24.22,19.82









150044,61.33,38.87,30.57,25.20,24.22,19.82









160048,62.79,39.84,31.05,25.68,24.71,19.82









170050,63.28,40.82,32.03,26.17,24.71,19.82









180054,64.75,42.29,32.52,26.66,24.71,19.82









190057,65.72,42.77,33.01,26.66,25.20,19.82









200059,67.19,43.75,33.98,27.15,25.20,19.82









210063,68.65,44.73,34.96,27.64,25.68,19.82





