Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
0,44.24,36.91,60.35,82.32,82.32
2,44.24,36.91,43.26,56.45,65.72
4,44.24,36.43,39.84,48.63,58.89
38,44.24,36.43,41.80,49.61,56.45
75,44.24,36.91,40.82,46.68,51.07
111,44.24,36.91,31.05,28.12,30.08
149,44.24,36.91,35.94,34.96,33.98
186,44.24,36.43,37.89,38.87,37.89
224,44.24,36.43,48.14,56.93,54.00
261,44.24,36.43,33.01,32.52,33.01
299,43.75,36.43,34.96,34.47,33.98
335,44.24,36.43,37.40,37.89,37.40
373,44.24,36.43,47.66,56.45,53.52
411,44.24,36.43,33.01,32.52,32.52
448,44.24,36.91,35.45,35.45,34.47
486,44.24,36.91,37.89,38.87,38.87
523,44.24,36.91,48.14,56.45,54.00
561,44.24,36.91,33.01,32.52,32.52
598,43.75,36.91,35.94,35.94,34.96
635,43.75,36.43,37.89,39.36,38.87
673,44.24,36.91,47.66,56.93,54.00
710,44.24,36.43,33.01,33.01,32.52
748,44.24,36.43,35.45,35.94,34.96
785,44.24,36.43,37.89,39.36,39.36
823,44.24,36.43,47.66,56.45,54.00
860,44.24,36.43,33.01,32.03,32.03
898,44.24,36.91,35.94,35.94,34.96
934,44.24,36.43,37.89,39.84,39.36
972,43.75,36.91,48.14,56.45,54.00
1010,43.75,36.43,33.01,31.54,32.03
1048,44.24,36.43,35.94,36.91,35.45
1087,44.24,36.91,45.21,53.52,52.05
1125,44.24,36.43,37.40,40.82,39.84
1164,44.24,36.91,33.50,33.98,34.47
1202,44.24,36.91,40.82,45.70,45.70
1241,44.24,36.91,43.26,49.61,48.63
1280,44.24,36.43,32.03,31.54,33.98
1317,44.24,36.43,36.91,38.38,37.89
1356,44.24,36.91,46.19,54.00,51.07
1394,44.24,36.43,31.05,30.57,33.50
1433,44.24,36.91,36.43,36.43,35.45
1472,44.24,36.91,47.66,56.45,53.03
1510,44.24,36.43,30.57,29.59,32.52
1549,44.24,36.43,37.40,38.38,36.91
1587,44.24,36.43,47.17,55.96,53.03
1626,44.24,36.91,33.01,32.52,32.52
1664,44.24,36.91,36.43,37.89,36.43
1702,44.24,36.91,44.73,53.03,51.07
1741,44.24,36.43,37.40,40.33,39.36
1779,44.24,36.43,33.98,34.47,34.96
1818,44.24,36.91,41.31,46.19,46.19
1856,44.24,36.43,42.77,49.12,47.66
1895,44.24,36.43,32.03,32.03,33.98
1933,44.24,36.43,36.91,38.38,37.89
1972,44.24,36.91,45.70,53.52,51.07
2011,44.24,36.91,31.05,31.05,33.98
2049,44.24,36.91,35.94,36.43,35.45
2087,43.75,36.91,47.17,55.96,52.54
2125,44.24,36.43,30.57,29.59,32.52
2164,44.24,36.91,36.91,37.89,36.43
2203,44.73,36.43,47.17,56.45,53.52
2241,44.24,36.91,32.03,31.54,32.03
2280,44.24,36.43,36.91,37.40,35.94
2318,44.24,36.91,45.70,54.00,52.05
2357,43.75,36.43,36.91,39.84,39.36
2395,44.24,36.43,33.98,34.47,34.96
2434,44.24,36.91,41.31,46.68,46.19
2472,44.24,36.43,42.29,48.14,46.68
2510,44.24,36.91,32.03,31.54,33.98
2549,44.24,36.43,36.91,38.38,38.38
2587,44.24,36.91,45.70,53.52,50.59
2626,43.75,36.43,31.54,31.54,33.98
2664,44.24,36.43,36.43,36.91,35.94
2703,44.24,36.91,47.17,55.47,52.54
2742,44.24,36.43,30.57,30.08,33.01
2780,44.24,36.91,36.91,37.89,36.43
2819,44.24,36.43,46.68,55.96,53.03
2856,44.24,36.91,31.54,30.57,31.05
2895,43.75,36.91,36.91,38.38,36.43
2933,44.24,36.91,45.70,54.00,52.05
2972,43.75,36.91,36.43,38.87,38.38
3011,44.24,36.43,34.96,35.45,35.45
3049,44.24,36.43,41.31,46.68,46.19
