Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
0,20.31,18.85,18.85,19.82,19.34
2,20.31,18.85,19.34,19.34,19.34
4,20.31,19.34,19.34,19.34,19.82
38,20.80,18.85,19.82,19.82,19.82
75,20.31,19.34,19.34,18.85,19.34
111,20.31,19.34,19.34,19.34,19.34
149,20.31,19.34,19.34,19.34,19.82
186,20.31,19.34,19.34,19.82,19.82
224,20.31,19.34,19.34,19.34,19.34
261,20.80,19.34,19.34,19.34,19.34
299,20.31,19.34,19.34,19.34,19.34
335,20.31,18.85,19.34,19.34,19.34
373,20.31,19.34,19.34,18.85,19.34
411,20.31,19.34,19.34,19.34,19.34
448,20.31,18.85,19.34,19.34,19.34
486,20.31,19.34,19.34,18.85,19.82
523,20.31,19.34,19.34,18.85,19.34
561,20.31,19.34,19.34,19.34,19.34
598,20.31,19.34,19.34,19.34,19.34
635,20.31,19.34,19.34,19.34,19.34
673,20.31,19.34,19.34,19.34,19.34
710,20.31,19.34,19.34,19.34,19.82
748,20.31,19.34,19.34,19.34,19.34
785,20.31,19.34,19.34,19.34,19.34
823,20.31,18.85,19.34,19.34,19.34
860,20.31,19.34,19.34,19.34,19.34
898,20.31,19.34,19.34,19.34,19.34
934,20.31,19.34,19.34,19.34,19.34
972,20.31,19.34,19.34,19.34,19.82
1010,20.31,19.34,19.34,19.34,19.34
1048,20.31,19.34,19.34,19.34,19.82
1087,20.31,19.34,19.34,19.34,19.34
1125,20.31,19.34,19.34,19.34,19.34
1164,20.31,19.34,19.34,19.34,19.34
1202,20.31,19.34,19.34,19.34,19.34
1241,20.31,19.34,19.34,19.34,19.82
1280,20.31,19.34,19.34,19.34,19.82
1317,20.31,19.34,19.34,19.34,19.34
1356,20.80,19.34,19.34,19.34,19.34
1394,20.31,19.34,19.34,19.34,19.82
1433,20.31,19.34,19.34,19.34,19.82
1472,20.31,19.34,19.34,19.82,19.34
1510,20.31,19.34,19.34,19.34,19.82
1549,20.31,19.34,19.34,18.85,19.82
1587,20.31,18.85,19.34,18.85,19.34
1626,20.31,19.34,19.34,19.34,19.34
1664,20.31,19.34,19.34,19.34,19.34
1702,20.31,19.34,19.34,19.34,19.34
1741,20.31,19.34,19.34,19.34,19.82
1779,20.31,19.34,19.34,19.34,19.82
1818,20.31,19.34,19.34,18.85,19.82
1856,20.31,19.34,19.34,19.34,19.34
1895,20.31,19.34,19.34,19.34,19.82
1933,20.31,19.34,19.34,19.34,19.34
1972,20.31,19.34,19.34,19.34,19.34
2011,20.31,19.34,19.34,19.34,19.34
2049,20.31,19.34,19.34,19.34,19.34
2087,20.31,19.34,19.34,19.82,19.82
2125,20.80,19.34,19.34,18.85,19.34
2164,20.80,19.34,19.34,19.34,19.34
2203,20.31,19.34,19.34,19.34,19.34
2241,20.31,18.85,19.34,19.34,19.82
2280,20.31,19.34,19.34,19.34,19.34
2318,20.31,19.34,19.34,18.85,19.34
2357,20.31,19.34,19.34,19.34,19.82
2395,20.31,19.34,19.34,19.34,19.82
2434,20.31,19.34,19.34,19.34,19.34
2472,20.31,19.34,19.34,19.34,19.34
2510,20.31,19.34,19.34,19.34,19.34
2549,20.31,18.85,19.34,19.34,18.85
2587,20.31,19.34,19.34,19.34,19.82
2626,20.31,19.34,19.34,19.34,19.34
2664,20.31,18.85,18.85,19.34,19.34
2703,20.31,19.34,19.34,19.34,19.34
2742,20.31,19.34,19.34,19.34,19.82
2780,20.31,18.85,19.34,19.34,19.34
2819,20.31,18.85,19.34,19.34,19.34
2856,20.31,19.34,19.34,19.34,19.34
2895,20.31,19.34,19.34,19.34,19.82
2933,20.31,19.34,19.34,19.34,19.34
2972,20.31,19.34,19.34,19.34,18.85
3011,20.31,18.85,19.34,18.85,19.34
3049,20.31,19.34,19.34,19.34,19.34
3088,20.31,19.34,19.34,19.34,19.34
3126,20.31,19.34,19.34,19.34,19.34
3165,20.80,19.34,19.82,19.34,19.34
3204,20.31,19.34,19.34,19.34,19.34
3241,19.82,19.34,19.34,19.34,19.34
3280,20.31,19.34,19.34,19.34,19.34
3318,20.31,19.34,19.34,19.34,19.34
3357,20.31,18.85,19.34,18.85,19.34
3395,20.31,19.34,19.34,19.34,19.34
3434,20.31,19.34,19.34,19.34,19.34
3473,20.31,19.34,19.34,19.34,19.34
3511,20.31,19.34,19.34,19.34,19.34
