Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5350,24.71,23.24,22.75,23.73,19.82,20.80
5457,24.22,23.73,22.75,23.24,21.29,20.31
5564,24.71,23.24,23.73,23.73,20.31,20.31
5670,24.71,23.24,23.24,23.24,21.78,19.34
5778,24.71,23.24,23.73,22.75,22.27,19.82
5884,24.71,22.75,22.75,23.24,18.85,20.80
5991,24.22,23.24,22.75,23.24,20.31,19.82
6098,24.22,23.24,22.75,23.24,16.41,19.82
6205,24.22,23.24,22.75,23.24,17.87,19.82
6311,24.71,23.24,22.75,23.24,18.36,20.31
6418,24.71,23.24,22.75,23.24,18.85,20.31
6525,24.71,23.24,23.24,22.75,21.29,19.34
6647,24.71,22.75,22.75,23.24,18.85,20.31
6755,24.22,23.24,22.75,23.24,19.82,19.34
6861,24.71,23.24,23.24,23.24,19.34,20.31
6968,24.71,22.75,22.75,22.75,20.31,20.31
7074,24.71,22.75,23.24,22.27,20.80,19.82
7182,24.71,22.75,23.24,22.75,22.75,20.31
7288,24.22,22.75,23.24,23.24,20.31,19.82
7395,24.71,23.24,23.24,23.24,20.31,19.34
7502,24.71,23.24,23.24,23.24,18.85,19.82
7609,24.71,23.24,22.75,23.24,18.85,20.31
7715,24.71,23.24,23.24,22.27,21.29,19.34
7822,24.22,23.24,23.24,22.75,21.29,19.34
7933,24.71,23.24,23.24,22.75,21.78,19.82
8040,24.71,22.75,23.24,22.75,20.80,20.31
8146,24.71,22.75,23.24,22.27,21.78,19.82
8253,24.71,22.75,23.24,22.75,19.82,19.82
8360,24.71,23.24,22.75,23.24,19.82,19.82
8467,24.71,22.75,23.24,22.75,21.29,20.31
8573,24.71,23.24,22.75,23.73,19.82,19.82
8681,24.71,23.24,23.24,22.75,22.27,19.34
8787,24.22,22.27,23.24,22.75,22.75,19.34
8894,24.71,23.24,22.75,23.73,19.82,20.31
9000,24.71,23.24,23.24,22.75,20.80,20.31
9108,24.71,23.24,23.24,23.73,20.31,20.80
9219,24.71,23.24,23.73,22.75,21.29,20.31
9325,24.71,22.75,23.73,22.75,20.80,20.31
9432,25.20,22.75,22.75,23.73,19.34,20.80
9539,24.71,22.75,23.24,23.24,19.82,20.31
9646,24.71,22.75,23.73,22.75,20.80,19.82
9752,24.71,23.24,23.24,23.73,19.34,20.31
9860,24.71,23.24,23.73,23.24,19.82,20.31
9966,24.71,23.24,23.24,22.75,21.78,19.34
10073,24.71,23.24,23.24,23.24,20.31,19.82
10179,24.71,22.75,23.24,23.24,20.31,20.31
10287,24.71,23.24,22.75,22.75,21.78,19.34
10393,24.71,23.24,24.71,22.75,22.27,19.34
10504,24.71,22.75,23.24,22.27,21.78,19.34
10611,24.71,23.24,23.73,22.75,21.78,19.82
10718,25.20,23.24,23.24,23.24,19.34,20.31
10824,24.71,22.75,23.24,22.75,21.29,19.82
10932,24.71,23.24,23.24,22.75,21.29,19.82
11038,24.71,22.75,23.24,23.24,24.22,21.78
11145,24.71,23.24,23.24,23.24,21.29,19.82
11252,25.20,23.24,23.73,22.75,21.78,19.82
11359,24.71,23.24,23.24,23.24,22.27,19.82
11465,24.71,22.75,23.73,22.75,21.78,19.82
11573,24.71,23.24,22.75,23.24,20.80,19.82
11679,25.68,23.24,24.22,23.24,22.27,20.80
11790,25.20,23.24,22.75,23.24,20.31,20.80
11896,25.20,23.73,23.73,23.73,21.29,20.80
12004,25.20,23.24,23.73,22.75,22.27,20.31
12110,24.71,23.24,22.75,23.24,21.29,19.82
12217,25.20,23.24,23.24,23.73,20.31,20.31
12324,25.20,23.24,22.75,23.73,19.82,20.31
12431,24.71,23.24,23.24,23.24,20.31,19.82
12537,25.20,23.24,23.24,22.75,21.78,19.82
12645,24.71,23.24,22.75,23.73,19.82,20.31
12751,25.20,23.24,23.24,23.24,19.34,20.31
12858,25.20,23.24,23.24,23.73,19.34,20.80
12965,24.71,23.24,22.75,23.73,19.82,20.31
13076,25.20,23.24,23.24,23.24,19.82,20.31
13182,25.20,23.24,23.24,22.75,21.29,19.82
13289,24.71,23.24,23.24,22.75,22.27,19.82
13396,24.71,23.24,23.24,22.75,21.29,19.82
13503,25.20,23.24,23.24,23.73,20.80,19.34
13609,24.71,23.24,23.24,23.24,21.78,19.82
13717,25.20,23.24,23.73,22.75,21.78,19.82
13824,25.20,23.24,22.75,23.73,20.31,20.31
13930,25.20,23.24,23.24,23.24,19.82,20.80
14038,25.20,23.24,23.73,22.75,20.80,19.82
14144,25.20,23.24,23.24,22.75,20.31,20.31
14251,25.20,23.73,24.71,23.24,19.82,19.82
14362,25.20,23.24,22.75,23.73,20.31,19.82
14469,24.71,23.24,23.24,23.24,20.80,19.34
14575,25.20,23.24,23.73,22.75,21.78,19.82
14682,25.20,23.24,23.24,23.24,19.82,20.80
14789,25.20,23.24,23.73,22.75,21.29,19.82
14896,25.20,23.24,23.24,23.24,22.75,20.31
15002,25.20,23.24,23.73,23.24,19.82,20.31
15110,25.20,23.24,23.73,22.75,21.29,19.82
15216,25.20,23.24,23.24,23.24,20.31,20.31
15323,25.20,23.24,23.73,23.24,20.80,19.82
15430,25.20,23.73,23.24,23.73,19.82,20.31
15537,25.20,23.24,23.73,22.75,20.80,20.31
15647,25.20,23.24,23.73,22.75,20.80,22.27
15754,25.20,23.24,23.73,22.75,21.78,19.34
15861,25.20,23.73,22.75,23.24,20.80,19.82
15968,25.20,23.24,23.24,23.73,19.34,20.31
16074,25.68,23.24,23.24,23.73,19.82,20.80
16182,25.68,23.24,23.24,23.24,19.82,20.80
16288,25.20,23.24,23.73,23.73,19.34,19.82
16395,25.20,23.24,23.24,23.73,19.82,19.82
16502,25.20,23.24,23.24,22.75,19.34,19.34
16609,25.20,23.24,23.24,23.24,19.34,20.31
16715,25.20,23.24,23.24,23.73,19.82,20.31
16823,25.20,23.24,23.24,22.75,21.29,19.82
16933,25.20,23.73,22.75,22.75,17.87,19.82
17040,25.20,23.24,23.73,22.75,21.78,19.82
17146,25.68,23.24,23.24,23.24,19.82,20.31
17254,25.68,23.24,23.73,22.75,20.80,20.31
17360,25.20,23.24,23.24,23.24,21.78,19.82
17467,25.68,23.24,23.73,23.24,19.34,20.31
17574,25.68,23.24,23.73,22.75,20.31,20.31
17681,25.68,23.24,23.24,23.73,19.82,20.31
17787,25.68,23.24,23.24,23.73,20.31,20.80
17895,25.68,23.24,23.73,23.24,20.31,20.80
18001,25.68,23.24,22.75,23.73,19.34,20.31
18112,25.68,23.24,22.75,23.73,23.24,20.80
18220,25.68,23.24,22.75,23.24,20.80,19.82
18326,25.68,23.24,23.24,23.24,16.41,20.80
