Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5,Ambient
5350,26.66,25.20,25.68,26.17,26.17,21.78
6356,26.66,25.20,25.68,26.17,26.17,21.78
7363,26.66,25.20,25.68,26.17,26.17,21.78
8371,26.66,25.20,25.68,25.68,26.17,21.78
9377,26.66,25.20,25.68,26.17,26.17,21.78
10384,26.66,25.20,25.68,25.68,26.17,21.78
11390,26.66,25.20,25.68,25.68,26.17,21.78
12397,26.17,25.20,25.68,26.17,26.17,21.78
13405,26.66,25.20,25.68,26.17,26.17,21.78
14411,26.66,25.20,25.68,26.17,25.68,21.78
15418,26.66,25.20,25.68,25.68,26.17,21.78
16441,26.66,25.20,25.68,26.17,26.17,21.78
17447,26.66,25.20,25.68,25.68,26.17,21.78
18454,26.66,25.20,25.68,25.68,26.17,21.78
19461,26.66,25.20,25.68,25.68,26.17,21.78
20467,26.17,25.20,25.68,26.17,26.17,21.78
21475,26.66,25.20,25.68,26.17,26.17,21.78
22481,26.66,25.20,25.68,25.68,26.17,21.78
23488,26.17,25.20,25.68,26.17,26.17,21.78
24495,26.66,25.20,25.68,25.68,26.17,21.78
25502,26.66,25.20,25.68,25.68,25.68,21.29
26509,26.66,25.20,25.68,25.68,25.68,21.78
27515,26.66,25.20,25.68,25.68,25.68,21.29
28526,26.66,25.20,25.68,26.17,26.17,21.78
29533,26.66,25.20,25.68,26.17,25.68,21.78
30540,26.66,25.20,25.68,25.68,26.17,21.78
31547,26.17,25.20,25.68,25.68,26.17,21.78
32553,26.66,25.20,25.68,25.68,26.17,21.78
33560,26.66,25.20,25.68,25.68,26.17,21.78
34567,26.66,25.20,25.68,25.68,25.68,21.29
35574,24.71,25.20,25.20,25.68,21.29,20.80
36581,26.17,25.20,25.68,25.68,26.17,21.78
37587,26.66,25.20,25.68,25.68,26.17,21.78
38594,26.66,25.20,25.68,25.68,26.17,21.78
39601,26.17,25.20,25.68,25.68,25.68,21.78
40612,26.66,25.20,25.68,25.68,25.68,21.29
41619,26.66,25.20,26.17,25.68,26.17,21.78
42626,26.17,25.20,25.68,25.68,25.68,21.78
43632,26.17,25.20,25.68,25.68,25.68,21.29
44640,26.66,25.20,25.68,25.68,25.68,21.78
45646,26.66,25.20,25.68,25.68,25.68,21.78
46653,26.17,25.20,25.68,25.68,25.68,21.78
47660,26.17,25.20,25.68,25.68,25.68,21.78
48666,26.17,25.20,25.68,25.68,25.68,21.78
49674,26.17,25.20,25.68,25.68,25.68,21.29
50680,26.17,25.20,25.68,25.68,25.68,21.29
51687,26.17,25.20,25.68,25.68,25.68,21.29
52698,26.17,25.20,25.68,25.68,25.68,21.78
53704,26.17,25.20,25.68,25.68,25.68,21.78
54712,26.17,25.20,25.68,25.68,25.68,21.78
55718,26.17,25.20,25.68,25.68,25.68,21.78
56725,26.17,25.20,25.68,25.68,25.68,21.78
57732,26.17,25.20,25.68,25.68,25.68,21.29
58738,26.17,25.20,25.68,25.68,25.68,21.29
59746,26.17,25.20,25.68,25.68,25.68,21.29
60752,26.17,25.20,25.68,25.68,25.68,21.29
61759,26.17,25.20,25.68,25.68,25.20,21.29
62766,26.17,25.20,25.68,25.68,25.68,21.78
63772,26.17,25.20,25.68,25.68,25.68,21.78
64784,26.17,25.20,25.68,25.68,25.68,21.29
65790,26.17,25.20,25.68,25.68,25.68,21.78
66797,26.17,25.20,25.68,25.68,25.68,21.78
67804,26.17,25.20,25.68,25.68,25.68,21.78
68811,26.17,25.20,25.68,25.68,25.68,21.78
69818,26.17,25.20,25.68,25.68,25.68,21.78
70824,26.17,25.20,25.68,25.68,25.68,21.78
71831,26.17,25.20,25.68,25.68,25.68,21.78
72838,26.17,25.20,25.68,25.68,25.68,21.29
73845,26.17,25.20,25.68,25.68,25.68,21.78
74852,26.17,25.20,25.68,25.68,25.20,21.78
75858,26.17,25.20,25.68,25.68,25.68,21.78
76869,26.17,25.20,25.68,25.68,25.68,21.29
77876,26.17,25.20,25.68,25.68,25.68,21.78
78883,26.17,25.20,25.68,25.68,25.68,21.78
79890,26.17,25.20,25.68,25.68,25.20,21.29
80897,26.17,25.20,25.68,25.68,25.68,21.78
81903,26.17,25.20,25.68,25.68,25.68,21.29
82910,26.17,25.20,25.68,25.68,25.68,21.29
83917,26.17,25.20,25.68,25.68,25.68,21.29
84924,26.17,24.71,25.68,25.68,25.68,21.29
85931,26.17,25.20,25.68,25.68,25.68,21.29
86937,26.17,25.20,25.20,25.68,25.68,21.29
87945,26.17,25.20,25.68,25.68,25.20,21.29
88955,26.17,25.20,25.68,25.68,25.68,21.29
89962,25.68,25.20,25.68,25.68,25.68,21.29
90969,26.17,25.20,25.68,25.68,25.68,21.78
91975,26.17,25.20,25.68,25.68,25.68,21.29
92983,26.17,25.20,25.68,25.68,25.68,21.78
93989,26.17,25.20,25.68,25.68,25.68,21.29
94996,26.17,25.20,25.68,25.68,25.20,21.78
96003,26.17,25.20,25.68,25.68,25.68,21.29
97009,26.17,25.20,25.68,25.68,25.68,21.29
98017,26.17,24.71,25.68,25.68,25.68,21.29
99023,26.17,24.71,25.68,25.68,25.68,21.29
100030,26.17,24.71,25.68,25.68,25.68,21.78
101041,26.17,25.20,25.68,25.68,25.68,21.29
102047,26.17,24.71,25.20,25.68,24.71,21.29
103055,26.17,25.20,25.68,25.68,25.68,21.29
104061,26.17,25.20,25.68,25.68,25.68,21.78
105068,26.17,24.71,25.68,25.68,25.68,21.29
106076,26.17,24.71,25.20,25.68,25.68,21.29
107082,26.17,25.20,25.68,25.68,25.68,21.78
108089,26.17,24.71,25.20,25.20,25.68,21.29
